org.apache.tools.ant.taskdefs.ImportTask,64
org.apache.tools.ant.taskdefs.Input,7
org.apache.tools.ant.taskdefs.Input.Handler,3
org.apache.tools.ant.taskdefs.Input.HandlerType,1
org.apache.tools.ant.taskdefs.JDBCTask,263
org.apache.tools.ant.taskdefs.Jar,520
org.apache.tools.ant.taskdefs.Jar.FilesetManifestConfig,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Jar.StrictMode,1
org.apache.tools.ant.taskdefs.Java,1426
org.apache.tools.ant.taskdefs.Javac,3525
org.apache.tools.ant.taskdefs.Javac.ImplementationSpecificArgument,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Javadoc,5683
org.apache.tools.ant.taskdefs.Javadoc.AccessType,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Javadoc.DocletInfo,0
org.apache.tools.ant.taskdefs.Javadoc.DocletParam,2
org.apache.tools.ant.taskdefs.Javadoc.ExtensionInfo,7
org.apache.tools.ant.taskdefs.Javadoc.GroupArgument,11
org.apache.tools.ant.taskdefs.Javadoc.Html,0
org.apache.tools.ant.taskdefs.Javadoc.JavadocOutputStream,0
org.apache.tools.ant.taskdefs.Javadoc.LinkArgument,35
org.apache.tools.ant.taskdefs.Javadoc.PackageName,1
org.apache.tools.ant.taskdefs.Javadoc.ResourceCollectionContainer,0
org.apache.tools.ant.taskdefs.Javadoc.SourceFile,0
org.apache.tools.ant.taskdefs.Javadoc.TagArgument,0
org.apache.tools.ant.taskdefs.Jikes,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.JikesOutputParser,43
org.apache.tools.ant.taskdefs.KeySubst,13
org.apache.tools.ant.taskdefs.Length,98
org.apache.tools.ant.taskdefs.Length.AccumHandler,0
org.apache.tools.ant.taskdefs.Length.AllHandler,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Length.EachHandler,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Length.FileMode,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Length.Handler,1
org.apache.tools.ant.taskdefs.Length.When,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.LoadFile,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.LoadProperties,64
org.apache.tools.ant.taskdefs.LoadResource,7
org.apache.tools.ant.taskdefs.Local,0
org.apache.tools.ant.taskdefs.LogOutputStream,4
org.apache.tools.ant.taskdefs.LogStreamHandler,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.MacroDef,131
org.apache.tools.ant.taskdefs.MacroDef.Attribute,19
